restaurant_name,text,rating,sentiment,theme,conflict,source,analyzed
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,Overpriced for the portion sizes we received.,4,Negative,Other,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,Loved the nasi lemak — delicious and served piping hot.,1,Positive,Taste,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,Parking was available but the lot filled up quickly.,3,Neutral,Other,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,The pasta was flavorful and exceeded our expectations.,5,Positive,Taste,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,Quick seating even on a busy Friday night.,5,Positive,Wait Time,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,"The mains tasted bland and under-seasoned. However, Loved the steak — beautifully cooked and served piping hot.",3,Positive,Taste,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,Staff seemed rushed and inattentive throughout.,4,Negative,Service,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,"The laksa had an authentic, rich broth.",1,Positive,Taste,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,Our waiter was incredibly attentive and friendly.,1,Positive,Service,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,Portions were generous and beautifully plated.,2,Positive,Taste,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,"The steak was cooked to perfection, very juicy.",2,Positive,Taste,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,Loved the fish and chips — flavorful and served piping hot.,2,Positive,Taste,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,Would come back just for the laksa; truly fresh.,1,Positive,Taste,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,"The mains tasted bland and under-seasoned. However, Loved the roast chicken — amazing and served piping hot.",3,Positive,Taste,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,Staff remembered our preferences from last visit.,5,Positive,Service,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,Staff remembered our preferences from last visit.,4,Positive,Service,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,The satay was perfect and exceeded our expectations.,2,Positive,Taste,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,"The noise level made it hard to have a conversation. However, The laksa had an authentic, rich broth.",3,Positive,Taste,True,llm,True
1212 Restaurant | BBQ Restaurant | Indian Restaurant in KL,Parking was available but the lot filled up quickly.,3,Neutral,Other,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Would come back just for the curry; truly excellent.,1,Positive,Taste,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,The mains tasted bland and under-seasoned.,4,Negative,Taste,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Quick seating even on a busy Friday night.,4,Positive,Wait Time,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Quick seating even on a busy Friday night.,5,Positive,Wait Time,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Would come back just for the nasi lemak; truly memorable.,2,Positive,Taste,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Expected better — the sushi tasted underwhelming.,2,Negative,Taste,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Staff seemed rushed and inattentive throughout.,5,Negative,Service,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Would come back just for the satay; truly perfect.,2,Positive,Taste,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Quick seating even on a busy Friday night.,4,Positive,Wait Time,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,The char kuey teow was perfect and exceeded our expectations.,2,Positive,Taste,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Quick seating even on a busy Friday night.,4,Positive,Wait Time,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,"Left disappointed; the pasta was overpriced for the price. However, Portions were generous and beautifully plated.",3,Neutral,Taste,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,"Service was average, neither fast nor slow.",3,Neutral,Service,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,The curry was perfect and exceeded our expectations.,2,Positive,Taste,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Loved the laksa — excellent and served piping hot.,1,Positive,Taste,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Waited over an hour before anyone took our order.,5,Negative,Wait Time,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Expected better — the nasi lemak tasted overpriced.,2,Negative,Taste,True,llm,True
