Name,Fulladdress,Street,Municipality,Categories,About,Phone,Phones,Claimed,Owner,Owner Id,Owner Link,Review Count,Average Rating,Review URL,Cid,Fid,Latitude,Longitude,Time Zone,Website,Domain,Opening Hours,Google Knowledge URL,Kgmid,Google Maps URL,Place Id,Emails,Facebook Links,Instagram Links,Youtube Links,Tiktok Links,Linkedin Links,Twitter Links,Search Keyword
Beta KL,"Lot 163, 10, Jalan Perak, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Lot 163,"10, Jalan Perak",Fine dining restaurant;Restaurant,"Service options: [Dine-in], Highlights: [Great beer selection, Great cocktails, Great coffee, Great dessert, Great tea selection, Great wine list], Popular for: [Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Hard liquor, Vegan options, Vegetarian options, Wine], Dining options: [Dinner, Dessert, Table service], Amenities: [Bar onsite, Restroom], Atmosphere: [Cozy, Romantic, Trendy, Upscale], Crowd: [Good for groups, Tourists], Planning: [Lunch reservations recommended, Reservations required, Dinner reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments, ], Parking: [Free parking lot, Paid parking lot, ]",+60 19-212 1094,"019-212 1094, +60 19-212 1094",YES,Beta KL (Owner),100235099088830673008,https://www.google.com/maps/contrib/100235099088830673008,1365,4.8,https://search.google.com/local/reviews?placeid=ChIJlTA1sdU3zDERKbujTkG2pJc&authuser=0&hl=en&gl=US,10927058987516148521,0x31cc37d5b1353095:0x97a4b6414ea3bb29,3.1545842,101.70909789999999,Asia/Kuala_Lumpur,www.betakl.com/,betakl.com,"Wednesday(2026-06-24): [6–11 PM], Thursday(2026-06-25): [6–11 PM], Friday(2026-06-26): [6–11 PM], Saturday(2026-06-27): [6–11 PM], Sunday(2026-06-28): [6–11 PM], Monday(2026-06-29): [Closed], Tuesday(2026-06-30): [6–11 PM]",https://www.google.com/search?kgmid=/g/11gfgm5xnc,/g/11gfgm5xnc,https://www.google.com/maps?cid=10927058987516148521,ChIJlTA1sdU3zDERKbujTkG2pJc,,,,,,,,Restaurants in Kuala Lumpur
Bijan Bar & Restaurant,"3, Jalan Ceylon, Bukit Ceylon, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","3, Jalan Ceylon",Bukit Ceylon,Malaysian restaurant;Asian restaurant;Restaurant,"From the business: [Identifies as women-owned], Service options: [Outdoor seating, Delivery, Onsite services, Takeout, Dine-in], Highlights: [Great cocktails, Great coffee, Great dessert, Great tea selection, Great wine list, Live music], Popular for: [Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Happy hour drinks, Happy hour food, Hard liquor, Private dining room, Small plates, Vegan options, Vegetarian options, Wine], Dining options: [Breakfast, Lunch, Dinner, Catering, Dessert, Seating, Table service], Amenities: [Bar onsite, Gender-neutral restroom, Restroom, Wi-Fi, ], Atmosphere: [Casual, Cozy, Quiet, Romantic, Trendy, Upscale], Crowd: [Family-friendly, Good for groups, Tourists], Planning: [Lunch reservations recommended, Reservations required, Dinner reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments, ], Children: [Good for kids, High chairs], Parking: [Free parking lot, Free street parking, Paid parking lot, Paid street parking, ]",+60 3-2031 3575,"03-2031 3575, +60 3-2031 3575",YES,Bijan Bar & Restaurant (Owner),108768249622768310229,https://www.google.com/maps/contrib/108768249622768310229,3002,4.5,https://search.google.com/local/reviews?placeid=ChIJhUW7pNVJzDERrVLuwiGu_N4&authuser=0&hl=en&gl=US,16067909030578639533,0x31cc49d5a4bb4585:0xdefcae21c2ee52ad,3.1484858,101.70592339999999,Asia/Kuala_Lumpur,www.bijanrestaurant.com.my/,bijanrestaurant.com.my,"Wednesday(2026-06-24): [4:30–11 PM], Thursday(2026-06-25): [4:30–11 PM], Friday(2026-06-26): [4:30–11 PM], Saturday(2026-06-27): [4:30–11 PM], Sunday(2026-06-28): [4:30–11 PM], Monday(2026-06-29): [4:30–11 PM], Tuesday(2026-06-30): [4:30–11 PM]",https://www.google.com/search?kgmid=/g/1tf55cvp,/g/1tf55cvp,https://www.google.com/maps?cid=16067909030578639533,ChIJhUW7pNVJzDERrVLuwiGu_N4,,,,,,,,Restaurants in Kuala Lumpur
Fuego at Troika Sky Dining,"Level 23A Tower B, The Troika, 19, Persiaran KLCC, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","Level 23A Tower B, The Troika","19, Persiaran KLCC",South American restaurant,"Service options: [Outdoor seating, No-contact delivery, Delivery, Onsite services, Takeout, Dine-in], Highlights: [Great beer selection, Great cocktails, Great coffee, Great dessert, Great wine list, Rooftop seating], Popular for: [Lunch, Dinner], Accessibility: [Wheelchair accessible parking lot, No wheelchair accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Coffee, Hard liquor, Healthy options, Late-night food, Small plates, Vegan options, Vegetarian options, Wine], Dining options: [Lunch, Dinner, Counter service, Dessert, Seating, Table service], Amenities: [Bar onsite, Restroom, Wi-Fi, ], Atmosphere: [Casual, Cozy, Romantic, Trendy, Upscale], Crowd: [Good for groups, Tourists], Planning: [Lunch reservations recommended, Reservations required, Dinner reservations recommended, Accepts reservations, Usually a wait], Payments: [Credit cards, Debit cards, NFC mobile payments, ], Children: [High chairs], Parking: [Paid parking lot, ]",+60 3-2162 0886,"03-2162 0886, +60 3-2162 0886",YES,Fuego at Troika Sky Dining (Owner),102796222860262924362,https://www.google.com/maps/contrib/102796222860262924362,3381,4.7,https://search.google.com/local/reviews?placeid=ChIJw9z919E3zDERJQtm_navO_s&authuser=0&hl=en&gl=US,18103256052754942757,0x31cc37d1d7fddcc3:0xfb3baf76fe660b25,3.158464,101.71819219999999,Asia/Kuala_Lumpur,www.troikaskydining.com/fuego/,troikaskydining.com,"Wednesday(2026-06-24): [6 PM–12 AM], Thursday(2026-06-25): [6 PM–12 AM], Friday(2026-06-26): [6 PM–12 AM], Saturday(2026-06-27): [6 PM–12 AM], Sunday(2026-06-28): [6 PM–12 AM], Monday(2026-06-29): [6 PM–12 AM], Tuesday(2026-06-30): [6 PM–12 AM]",https://www.google.com/search?kgmid=/g/11b764q9yz,/g/11b764q9yz,https://www.google.com/maps?cid=18103256052754942757,ChIJw9z919E3zDERJQtm_navO_s,,,,,,,,Restaurants in Kuala Lumpur
Skillet KL,"Lot 1-01, Level 1, Menara Hap Seng, 3, Jalan P. Ramlee, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","Lot 1-01, Level 1, Menara Hap Seng","3, Jalan P. Ramlee",Fine dining restaurant;Modern European restaurant,"Service options: [Onsite services, Dine-in, No delivery, No takeout], Highlights: [Great cocktails, Great coffee, Great dessert, Great wine list], Popular for: [Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Hard liquor, Vegetarian options, Wine], Dining options: [Brunch, Lunch, Dinner, Dessert, Table service], Amenities: [Bar onsite, Restroom], Atmosphere: [Cozy, Romantic, Trendy, Upscale], Crowd: [Good for groups, Tourists], Planning: [Brunch reservations recommended, Lunch reservations recommended, Reservations required, Dinner reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments, ], Parking: [Paid parking lot, ]",+60 19-212 1240,"019-212 1240, +60 19-212 1240",YES,Skillet KL (Owner),101609109690629830757,https://www.google.com/maps/contrib/101609109690629830757,1127,4.6,https://search.google.com/local/reviews?placeid=ChIJH3dBsNU3zDERgTKw6354sgk&authuser=0&hl=en&gl=US,698753378711253633,0x31cc37d5b041771f:0x9b2787eebb03281,3.1530229999999997,101.7075119,Asia/Kuala_Lumpur,www.skilletkl.com/,skilletkl.com,"Wednesday(2026-06-24): [6–10 PM], Thursday(2026-06-25): [12–3 PM, 6–10 PM], Friday(2026-06-26): [12–3 PM, 6–10 PM], Saturday(2026-06-27): [12–3 PM, 6–10 PM], Sunday(2026-06-28): [12–3 PM, 6–10 PM], Monday(2026-06-29): [Closed], Tuesday(2026-06-30): [6–10 PM]",https://www.google.com/search?kgmid=/g/11bc738wp8,/g/11bc738wp8,https://www.google.com/maps?cid=698753378711253633,ChIJH3dBsNU3zDERgTKw6354sgk,,,,,,,,Restaurants in Kuala Lumpur
"THIRTY8 Restaurant, Bar & Lounge","12, Jalan Pinang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","12, Jalan Pinang",Kuala Lumpur,Fine dining restaurant;Breakfast restaurant;Chinese restaurant;Family restaurant;Western restaurant,"Service options: [Onsite services, Dine-in], Highlights: [Great beer selection, Great cocktails, Great coffee, Great dessert, Great tea selection, Great wine list], Popular for: [Breakfast, Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, All you can eat, Beer, Cocktails, Coffee, Happy hour drinks, Hard liquor, Healthy options, Late-night food, Private dining room, Small plates, Vegan options, Vegetarian options, Wine], Dining options: [Breakfast, Brunch, Lunch, Dinner, Dessert, Table service], Amenities: [Bar onsite, Restroom, Wi-Fi, ], Atmosphere: [Cozy, Quiet, Romantic, Trendy, Upscale], Crowd: [Family-friendly, Good for groups, Tourists], Planning: [Brunch reservations recommended, Lunch reservations recommended, Reservations required, Dinner reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments, ], Children: [Good for kids, High chairs, Kids' menu], Parking: [Paid parking lot, Paid street parking, ]",+60 3-2203 9188,"03-2203 9188, +60 3-2203 9188",YES,"THIRTY8 Restaurant, Bar & Lounge (Owner)",113853795088669769807,https://www.google.com/maps/contrib/113853795088669769807,3914,4.4,https://search.google.com/local/reviews?placeid=ChIJo4RCY9Q3zDERqVGS36A--CI&authuser=0&hl=en&gl=US,2519832852180390313,0x31cc37d4634284a3:0x22f83ea0df9251a9,3.1536489999999997,101.712305,Asia/Kuala_Lumpur,www.hyatt.com/en-US/hotel/malaysia/grand-hyatt-kuala-lumpur/kuagh/dining?src=nplk-kuagh-lclb-thirty8-restaurant,hyatt.com,"Wednesday(2026-06-24): [6:30 AM–12 AM], Thursday(2026-06-25): [6:30 AM–12 AM], Friday(2026-06-26): [6:30 AM–12 AM], Saturday(2026-06-27): [6:30 AM–12 AM], Sunday(2026-06-28): [6:30 AM–12 AM], Monday(2026-06-29): [6:30 AM–12 AM], Tuesday(2026-06-30): [6:30 AM–12 AM]",https://www.google.com/search?kgmid=/g/12qf_khy9,/g/12qf_khy9,https://www.google.com/maps?cid=2519832852180390313,ChIJo4RCY9Q3zDERqVGS36A--CI,,,,,,,,Restaurants in Kuala Lumpur
Sabayon at EQ,"Level 51, EQ, Equatorial Plaza, Jln Sultan Ismail, 50250 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Level 51, EQ, Equatorial Plaza",Jln Sultan Ismail,Modern European restaurant;Fine dining restaurant,"Service options: [Outdoor seating, Dine-in, No delivery], Highlights: [Great cocktails, Great coffee, Great dessert, Great wine list, Rooftop seating], Popular for: [Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Hard liquor, Vegetarian options, Wine], Dining options: [Brunch, Lunch, Dinner, Dessert, Seating, Table service], Amenities: [Bar onsite, Restroom, Wi-Fi, ], Atmosphere: [Cozy, Romantic, Trendy], Crowd: [Good for groups, Tourists], Planning: [Brunch reservations recommended, Reservations required, Dinner reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, ], Parking: [Paid parking lot, , Valet parking]",+60 3-2789 7777,"03-2789 7777, +60 3-2789 7777",YES,Sabayon at EQ (Owner),109731405925578200434,https://www.google.com/maps/contrib/109731405925578200434,1434,4.7,https://search.google.com/local/reviews?placeid=ChIJbQaICbhJzDERy6h_6GLeT2M&authuser=0&hl=en&gl=US,7156182849303849163,0x31cc49b80988066d:0x634fde62e87fa8cb,3.1529181,101.7097897,Asia/Kuala_Lumpur,www.eqkualalumpur.equatorial.com/dining/sabayon/,eqkualalumpur.equatorial.com,"Wednesday(2026-06-24): [6–11 PM], Thursday(2026-06-25): [6–11 PM], Friday(2026-06-26): [6–11 PM], Saturday(2026-06-27): [6–11 PM], Sunday(2026-06-28): [12–3 PM, 6–11 PM], Monday(2026-06-29): [6–11 PM], Tuesday(2026-06-30): [6–11 PM]",https://www.google.com/search?kgmid=/g/11h_g0tx93,/g/11h_g0tx93,https://www.google.com/maps?cid=7156182849303849163,ChIJbQaICbhJzDERy6h_6GLeT2M,,,,,,,,Restaurants in Kuala Lumpur
Bunglow37,"37, Jalan Abdullah, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","37, Jalan Abdullah",Bangsar,Restaurant;Bar;Event venue;Fusion restaurant;Western restaurant,"Service options: [Outdoor seating, Delivery, Onsite services, Takeout, Dine-in], Highlights: [Great beer selection, Great cocktails, Great coffee, Great dessert, Great tea selection, Great wine list, Live music, Rooftop seating, Good for watching sports], Popular for: [Breakfast, Lunch, Dinner, Solo dining], Accessibility: [ Does not have assistive hearing loop], Offerings: [Alcohol, Beer, Cocktails, Coffee, Halal food, Happy hour drinks, Happy hour food, Hard liquor, Healthy options, Late-night food, Organic dishes, Private dining room, Quick bite, Small plates, Vegan options, Vegetarian options, Wine], Dining options: [Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating, Table service], Amenities: [Bar onsite, Restroom, Wi-Fi, ], Atmosphere: [Casual, Cozy, Quiet, Romantic, Trendy, Upscale], Crowd: [Family-friendly, Good for groups, Tourists], Planning: [Brunch reservations recommended, Lunch reservations recommended, Dinner reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments, ], Children: [Good for kids, Good for kids birthday, High chairs], Parking: [Free parking lot, Free street parking, On-site parking, Paid parking lot, Paid street parking, , Valet parking], Pets: [Dogs allowed outside]",+60 12-630 8407,"012-630 8407, +60 12-630 8407",YES,Bunglow37 (Owner),100984870961767468468,https://www.google.com/maps/contrib/100984870961767468468,3160,4.6,https://search.google.com/local/reviews?placeid=ChIJtyNik0VJzDERU1zW3w3gI3g&authuser=0&hl=en&gl=US,8657009258930789459,0x31cc4945936223b7:0x7823e00ddfd65c53,3.1321182999999997,101.6770805,Asia/Kuala_Lumpur,www.bunglow37.com/,bunglow37.com,"Wednesday(2026-06-24): [8:30 AM–1 AM], Thursday(2026-06-25): [8:30 AM–1 AM], Friday(2026-06-26): [8:30 AM–1 AM], Saturday(2026-06-27): [8:30 AM–1 AM], Sunday(2026-06-28): [8:30 AM–1 AM], Monday(2026-06-29): [8:30 AM–1 AM], Tuesday(2026-06-30): [8:30 AM–1 AM]",https://www.google.com/search?kgmid=/g/11h8gjfthd,/g/11h8gjfthd,https://www.google.com/maps?cid=8657009258930789459,ChIJtyNik0VJzDERU1zW3w3gI3g,,,,,,,,Restaurants in Kuala Lumpur
RESTORAN SENTRAL SPICE,"Unit No-G-18, Sentral Suites KL, Jalan Tun Sambanthan, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","Unit No-G-18, Sentral Suites KL",Jalan Tun Sambanthan,Indian restaurant;Biryani restaurant;Hyderabadi restaurant;South Indian restaurant,"From the business: [Identifies as women-owned], Service options: [Outdoor seating, Delivery, Drive-through, Onsite services, Takeout, Dine-in], Highlights: [Great dessert, Great tea selection], Popular for: [Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible seating,  Does not have assistive hearing loop, No wheelchair accessible parking lot, No wheelchair accessible restroom], Offerings: [Coffee, Healthy options, Small plates, Vegetarian options], Dining options: [Breakfast, Brunch, Lunch, Dinner, Counter service, Dessert, Seating, Table service], Amenities: [Restroom, Wi-Fi, ], Atmosphere: [Casual, Cozy, Trendy], Crowd: [Family-friendly, Good for groups, Tourists], Planning: [Brunch reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments, ], Children: [Good for kids, Has changing table(s), High chairs, Kids' menu], Parking: [Paid parking lot, ]",+60 12-302 6552,"012-302 6552, +60 12-302 6552",YES,RESTORAN SENTRAL SPICE (Owner),107993288668522836562,https://www.google.com/maps/contrib/107993288668522836562,926,4.7,https://search.google.com/local/reviews?placeid=ChIJK5rIFjZJzDERllQwe9mOkOU&authuser=0&hl=en&gl=US,16541878496057644182,0x31cc493616c89a2b:0xe5908ed97b305496,3.1293542999999997,101.6860725,Asia/Kuala_Lumpur,www.sentralspice.com/,sentralspice.com,"Wednesday(2026-06-24): [7 AM–11:30 PM], Thursday(2026-06-25): [7 AM–11:30 PM], Friday(2026-06-26): [7 AM–11:30 PM], Saturday(2026-06-27): [7 AM–11:30 PM], Sunday(2026-06-28): [7 AM–11:30 PM], Monday(2026-06-29): [7 AM–11:30 PM], Tuesday(2026-06-30): [7 AM–11:30 PM]",https://www.google.com/search?kgmid=/g/11y6p69p7_,/g/11y6p69p7_,https://www.google.com/maps?cid=16541878496057644182,ChIJK5rIFjZJzDERllQwe9mOkOU,,,,,,,,Restaurants in Kuala Lumpur
NADODI,"Level 7A, Four Seasons Hotel, Jln Ampang, City Centre, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","Level 7A, Four Seasons Hotel",Jln Ampang,Fine dining restaurant;Restaurant,"Service options: [Onsite services, Dine-in, No delivery], Highlights: [Great cocktails, Great dessert, Great tea selection, Great wine list], Popular for: [Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Hard liquor, Private dining room, Vegan options, Vegetarian options, Wine], Dining options: [Lunch, Dinner, Dessert, Table service], Amenities: [Bar onsite, Restroom], Atmosphere: [Cozy, Romantic, Trendy, Upscale], Crowd: [Good for groups, Tourists], Planning: [Reservations required, Dinner reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments], Parking: [Paid parking lot, ]",+60 17-296 9520,"017-296 9520, +60 17-296 9520",YES,NADODI (Owner),105959018058757203440,https://www.google.com/maps/contrib/105959018058757203440,928,4.7,https://search.google.com/local/reviews?placeid=ChIJacl_rtA3zDERNJiRM-i5PeM&authuser=0&hl=en&gl=US,16374448227137722420,0x31cc37d0ae7fc969:0xe33db9e833919834,3.1578903,101.71365279999999,Asia/Kuala_Lumpur,www.nadodikl.com/,nadodikl.com,"Wednesday(2026-06-24): [12–3 PM, 6–10 PM], Thursday(2026-06-25): [12–3 PM, 6–10 PM], Friday(2026-06-26): [12–3 PM, 6–10 PM], Saturday(2026-06-27): [12–3 PM, 6–10 PM], Sunday(2026-06-28): [Closed], Monday(2026-06-29): [12–3 PM, 6–10 PM], Tuesday(2026-06-30): [12–3 PM, 6–10 PM]",https://www.google.com/search?kgmid=/g/11cs9l_kkb,/g/11cs9l_kkb,https://www.google.com/maps?cid=16374448227137722420,ChIJacl_rtA3zDERNJiRM-i5PeM,,,,,,,,Restaurants in Kuala Lumpur
"PRIME , Le Méridien Kuala Lumpur","2, Jalan Stesen Sentral, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","2, Jalan Stesen Sentral",Kuala Lumpur Sentral,Steak house;American restaurant;Western restaurant,"Service options: [Onsite services, Dine-in], Highlights: [Great beer selection, Great cocktails, Great dessert, Great wine list], Popular for: [Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Hard liquor, Vegetarian options, Wine], Dining options: [Dinner, Dessert, Table service], Amenities: [Restroom, Wi-Fi, ], Atmosphere: [Cozy, Romantic, Trendy, Upscale], Crowd: [Good for groups], Planning: [Reservations required, Dinner reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments, ], Parking: [Free parking lot, Paid parking lot, ]",+60 3-2263 7434,"03-2263 7434, +60 3-2263 7434",YES,"PRIME , Le Méridien Kuala Lumpur (Owner)",111126748983564951555,https://www.google.com/maps/contrib/111126748983564951555,658,4.4,https://search.google.com/local/reviews?placeid=ChIJpfxkVMBJzDERCHZCeY2kVY8&authuser=0&hl=en&gl=US,10328342247975843336,0x31cc49c05464fca5:0x8f55a48d79427608,3.1355923999999997,101.6862869,Asia/Kuala_Lumpur,www.primekualalumpur.com/,primekualalumpur.com,"Wednesday(2026-06-24): [12–3 PM, 6–10 PM], Thursday(2026-06-25): [12–3 PM, 6–10 PM], Friday(2026-06-26): [12–3 PM, 6–10 PM], Saturday(2026-06-27): [6–10 PM], Sunday(2026-06-28): [6–10 PM], Monday(2026-06-29): [12–3 PM, 6–10 PM], Tuesday(2026-06-30): [12–3 PM, 6–10 PM]",https://www.google.com/search?kgmid=/g/1tv3l5gy,/g/1tv3l5gy,https://www.google.com/maps?cid=10328342247975843336,ChIJpfxkVMBJzDERCHZCeY2kVY8,,,,,,,,Restaurants in Kuala Lumpur
