Restaurant,Visibility,Social Engagement,Reviews Count,Avg Rating,Repeat Visit Rate,Impressions,Clicks,Click-to-Direction,Visits,Sentiment (Pos/Neg),Complaint Theme,SEO Rank,Keyword Match,Content Freshness,Sample Reviews,Longitude,Latitude,Cuisines
Beta KL,74,3.90%,1365,4.8,68.10%,"67,200","2,554",460,324,82/18,Wait Time,#7,62%,2.5,"1. “The tasting menu was exquisite — every dish felt like art.” ⭐⭐⭐⭐⭐ 
 2. “Ambience is modern yet warm. Perfect for date nights.” ⭐⭐⭐⭐ 
 3. “Waited too long between courses, which spoiled the flow.” ⭐⭐⭐ 
 4. “Staff were attentive and explained each dish beautifully.” ⭐⭐⭐⭐⭐ 
 5. “Parking was a hassle, but food was worth it.” ⭐⭐⭐",3.154793,101.709125,Malaysian
Bijan Bar & Restaurant,81,4.20%,3002,4.5,65.40%,"84,500","3,120",590,410,79/21,Taste,#5,70%,3,"1. “Authentic Malay flavors with a fine-dining twist. Loved it!” ⭐⭐⭐⭐⭐ 
 2. “The rendang was rich and flavorful, highly recommended.” ⭐⭐⭐⭐ 
 3. “Portions felt small for the price.” ⭐⭐⭐ 
 4. “Service was friendly and quick, made us feel welcome.” ⭐⭐⭐⭐⭐ 
 5. “Desserts were average compared to mains.” ⭐⭐⭐",3.148888,101.705993,Malaysian
Fuego at Troika Sky Dining,76,3.70%,3381,4.7,72.00%,"90,200","3,400",720,500,85/15,Service,#9,58%,2,"1. “The rooftop view is unbeatable — KL skyline at its best.” ⭐⭐⭐⭐⭐ 
 2. “Cocktails were creative and refreshing.” ⭐⭐⭐⭐ 
 3. “Service was slow despite reservations.” ⭐⭐⭐ 
 4. “Loved the grilled meats, perfectly cooked.” ⭐⭐⭐⭐⭐ 
 5. “Music was too loud for conversation.” ⭐⭐⭐",3.158625,101.71816,South American
Skillet KL,69,3.50%,1127,4.6,66.80%,"54,100","2,100",380,270,80/20,Wait Time,#11,55%,1.5,"1. “Innovative dishes with bold flavors, truly memorable.” ⭐⭐⭐⭐⭐ 
 2. “The lunch menu is great value for money.” ⭐⭐⭐⭐ 
 3. “Wait time between starters and mains was frustrating.” ⭐⭐⭐ 
 4. “Staff were knowledgeable about wine pairings.” ⭐⭐⭐⭐⭐ 
 5. “Dessert presentation was stunning but taste average.” ⭐⭐⭐",3.153259,101.707512,European
"THIRTY8 Restaurant, Bar & Lounge",88,4.50%,3914,4.4,70.20%,"120,300","4,500",890,640,78/22,Taste,#4,75%,3.5,"1. “Panoramic views and elegant dining — perfect for celebrations.” ⭐⭐⭐⭐⭐ 
 2. “Breakfast buffet was diverse and delicious.” ⭐⭐⭐⭐ 
 3. “Taste didn’t match the premium pricing.” ⭐⭐⭐ 
 4. “Service was polished and professional.” ⭐⭐⭐⭐⭐ 
 5. “Crowded during weekends, felt rushed.” ⭐⭐⭐",3.153863,101.712326,Western
Sabayon at EQ,77,3.80%,1434,4.7,67.90%,"61,000","2,300",420,310,83/17,Service,#8,63%,2.8,"1. “Romantic setting with beautifully plated dishes.” ⭐⭐⭐⭐⭐ 
 2. “Wine list was extensive and well-curated.” ⭐⭐⭐⭐ 
 3. “Service felt inattentive at times.” ⭐⭐⭐ 
 4. “Loved the Sunday brunch, especially desserts.” ⭐⭐⭐⭐⭐ 
 5. “Portions could be more generous.” ⭐⭐⭐",3.153132,101.709758,European
Bunglow37,72,3.60%,3160,4.6,69.50%,"78,000","2,950",560,390,81/19,Wait Time,#10,60%,2.2,"1. “Charming atmosphere with cozy interiors.” ⭐⭐⭐⭐⭐ 
 2. “Great spot for group dinners, spacious and lively.” ⭐⭐⭐⭐ 
 3. “Wait time for mains was longer than expected.” ⭐⭐⭐ 
 4. “Cocktails were creative and well-balanced.” ⭐⭐⭐⭐⭐ 
 5. “Music was slightly too loud indoors.” ⭐⭐⭐",3.132541,101.677107,European
RESTORAN SENTRAL SPICE,85,4.10%,926,4.7,73.30%,"50,500","1,900",350,250,84/16,Taste,#6,68%,3.1,"1. “Authentic Malaysian flavors, reminded me of home cooking.” ⭐⭐⭐⭐⭐ 
 2. “Service was quick and friendly.” ⭐⭐⭐⭐ 
 3. “Taste was inconsistent across dishes.” ⭐⭐⭐ 
 4. “Loved the spice blends, very aromatic.” ⭐⭐⭐⭐⭐ 
 5. “Ambience felt basic compared to food quality.” ⭐⭐⭐",3.129515,101.68604,Indian
NADODI,79,3.90%,928,4.7,71.00%,"52,000","2,000",370,260,82/18,Service,#12,59%,2.4,"1. “Creative South Indian fine dining, truly unique.” ⭐⭐⭐⭐⭐ 
 2. “Loved the storytelling behind each course.” ⭐⭐⭐⭐ 
 3. “Service was slow despite reservations.” ⭐⭐⭐ 
 4. “Flavors were bold and memorable.” ⭐⭐⭐⭐⭐ 
 5. “Menu felt limited for vegetarians.” ⭐⭐⭐",3.158137,101.713717,Indian
"PRIME, Le Méridien Kuala Lumpur",73,3.40%,658,4.4,64.70%,"43,000","1,650",310,220,77/23,Wait Time,#13,57%,1.8,"1. “Steaks were cooked to perfection, juicy and flavorful.” ⭐⭐⭐⭐⭐ 
 2. “Elegant ambience, perfect for business dinners.” ⭐⭐⭐⭐ 
 3. “Wait time for food was longer than expected.” ⭐⭐⭐ 
 4. “Staff were attentive and professional.” ⭐⭐⭐⭐⭐ 
 5. “Side dishes didn’t match the quality of mains.” ⭐⭐⭐",3.136899,101.686263,Japanese
